Label_real,RF_original,RF_pca,RF_lda,XGB_original,XGB_pca,XGB_lda,IF_original,IF_pca,IF_lda,MS_original,MS_pca,MS_lda
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,DDoS,DDoS,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,DDoS,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Infiltration,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA
Infiltration,BENIGN,BENIGN,DDoS,BENIGN,BENIGN,DDoS,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA,NORMAL
Heartbleed,BENIGN,BENIGN,PortScan,BENIGN,BENIGN,PortScan,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Heartbleed,BENIGN,DoS Hulk,PortScan,DoS Hulk,DoS Hulk,PortScan,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Heartbleed,BENIGN,DoS Hulk,PortScan,DoS Hulk,DoS Hulk,PortScan,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Heartbleed,BENIGN,DoS Hulk,PortScan,DoS Hulk,DoS Hulk,PortScan,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Heartbleed,BENIGN,DoS Hulk,PortScan,DoS Hulk,DoS Hulk,PortScan,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Heartbleed,BENIGN,DoS Hulk,PortScan,DoS Hulk,DoS Hulk,PortScan,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Heartbleed,BENIGN,DoS Hulk,PortScan,DoS Hulk,DoS Hulk,PortScan,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Heartbleed,BENIGN,DoS Hulk,PortScan,BENIGN,DoS Hulk,PortScan,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Heartbleed,BENIGN,DoS Hulk,PortScan,BENIGN,DoS Hulk,PortScan,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Heartbleed,BENIGN,DoS Hulk,PortScan,BENIGN,DoS Hulk,PortScan,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
Heartbleed,BENIGN,DoS Hulk,BENIGN,BENIGN,DoS Hulk,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,ANOMALIA,NORMAL,ANOMALIA,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,PortScan,BENIGN,PortScan,PortScan,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,NORMAL,NORMAL,ANOMALIA,ANOMALIA
BENIGN,BENIGN,PortScan,BENIGN,BENIGN,PortScan,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,DoS Hulk,NORMAL,ANOMALIA,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,DoS Hulk,BENIGN,BENIGN,DoS Hulk,NORMAL,ANOMALIA,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,NORMAL,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,PortScan,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,ANOMALIA,NORMAL,ANOMALIA,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,NORMAL,NORMAL,ANOMALIA,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,ANOMALIA,NORMAL,ANOMALIA,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,NORMAL,NORMAL,ANOMALIA,ANOMALIA
BENIGN,BENIGN,PortScan,PortScan,BENIGN,PortScan,PortScan,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,NORMAL
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,NORMAL,ANOMALIA,ANOMALIA,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,ANOMALIA,ANOMALIA,ANOMALIA,NORMAL,NORMAL,ANOMALIA
BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ANOMALIA
